job_id,omega,tau,dimension,step_size,predicted_traceless_rate,fitted_traceless_rate,predicted_trace_rate,fitted_trace_rate
M_affine_metric_d5_h0.02,2.0,1.6,5,0.02,0.25,0.2506414246256412,0.05,0.0500324025619782
M_affine_metric_d5_h0.04,0.25,-0.025,5,0.04,2.0,2.084551247721001,4.0,4.35900009659547
M_affine_metric_d5_h0.04,0.25,0.0,5,0.04,2.0,2.0845601404757343,2.0,2.084556080989519
M_affine_metric_d5_h0.04,0.25,0.05,5,0.04,2.0,2.084576792485611,1.0,1.0205642172196154
M_affine_metric_d5_h0.04,0.25,0.2,5,0.04,2.0,2.084603930457672,0.4,0.4032467101912625
M_affine_metric_d5_h0.04,0.5,-0.05,5,0.04,1.0,1.020566775056459,2.0,2.084599618526472
M_affine_metric_d5_h0.04,0.5,0.0,5,0.04,1.0,1.0205761331494885,1.0,1.020570778298235
M_affine_metric_d5_h0.04,0.5,0.1,5,0.04,1.0,1.020585971499611,0.5,0.5050837629306496
M_affine_metric_d5_h0.04,0.5,0.4,5,0.04,1.0,1.0205947256354495,0.2,0.2008152287071639
M_affine_metric_d5_h0.04,1.0,-0.1,5,0.04,0.5,0.5050883134193086,1.0,1.020583806713244
M_affine_metric_d5_h0.04,1.0,0.0,5,0.04,0.5,0.5050929944563172,0.5,0.5050878346350166
M_affine_metric_d5_h0.04,1.0,0.2,5,0.04,0.5,0.5050951390182578,0.25,0.2512728183702926
M_affine_metric_d5_h0.04,1.0,0.8,5,0.04,0.5,0.5050957938739976,0.1,0.100210106431627
M_affine_metric_d5_h0.04,2.0,-0.2,5,0.04,0.25,0.2512771820475724,0.5,0.5050891611177944
M_affine_metric_d5_h0.04,2.0,0.0,5,0.04,0.25,0.2512769091035682,0.25,0.251273135045409
M_affine_metric_d5_h0.04,2.0,0.4,5,0.04,0.25,0.2512757808734887,0.125,0.1253240889534112
M_affine_metric_d5_h0.04,2.0,1.6,5,0.04,0.25,0.2512745687548737,0.05,0.0500574860248536
